code,duration_m,event,years_to_touch,touch_year,fast,earn_dom,earn_mult,pe_mult,pe0
300168,0.0,1,0.75,2015,1,0.0,0.5947678892023596,17.432659006367796,38.2918697101821
300274,65.67017082785807,0,4.96,2021,0,1.0,2.6341463414634148,2.15340548074361,44.07317073170732
300308,10.4796320630749,0,4.95,2025,0,1.0,7.967479674796748,0.9040385576011176,45.83739837398375
300347,10.151116951379763,1,4.81,2020,0,1.0,7.333333333333334,0.919863040049244,78.76666666666667
300394,10.578186596583443,0,4.97,2025,0,1.0,1.843215224028971,1.6177309819353496,47.27685862387275
300476,11.103810775295663,0,4.97,2025,0,1.0,7.477611940298507,1.5034644928376597,31.59701492537313
300502,10.939553219448094,0,4.96,2025,0,1.0,6.406666666666666,0.5850942631909469,43.446666666666665
300750,66.36005256241786,0,2.56,2021,1,1.0,4.189617353156227,2.664439848427873,22.057031440409457
600000,222.1419185282523,0,2.36,2008,1,1.0,3.4818897637795274,2.371135426935515,11.748031496062993
600028,0.0,1,2.29,2007,1,0.0,1.3903508771929824,6.080483763772009,7.390350877192982
600030,231.47174770039422,0,1.65,2007,1,1.0,25.0625,0.3113837029049,37.0
600031,229.10643889618922,0,1.94,2007,1,,,,
600036,224.5729303547963,0,2.61,2007,1,1.0,2.736842105263158,1.9915026833631488,21.5
600053,230.2890932982917,0,1.7,2007,1,1.0,19.33333333333333,0.3387023593466425,76.0
600058,92.77266754270696,1,2.14,2007,1,1.0,3.1975124378109454,2.5690678459786724,15.646766169154228
600062,226.28120893561103,0,2.06,2007,1,0.0,2.3448357362325694,2.6156771830796623,10.990309619475305
600075,171.35348226018397,1,1.76,2007,1,0.0,0.8715492957746479,2.8993937269111743,9.140845070422536
600079,201.77398160315374,0,4.07,2009,0,1.0,1.897233201581028,1.8280715005035248,13.08300395256917
600089,228.71222076215506,0,1.5,2007,1,0.0,1.9511138613861387,2.295843488914667,22.58663366336634
600104,225.13140604467804,0,2.2,2007,1,0.0,2.100890207715133,3.256820464532329,13.353115727002969
600108,101.9053876478318,1,1.75,2007,1,1.0,3.709090909090909,1.1793540945790078,170.00000000000003
600117,3.1208935611038107,1,2.16,2007,1,0.0,1.8075259515570927,4.380591482000164,13.19204152249135
600118,222.4047306176084,0,2.36,2008,1,1.0,20.0,0.4014598540145985,182.66666666666669
600127,163.50197109067017,1,1.8,2007,1,1.0,2.3,2.232933307102105,221.0
600132,10.64388961892247,1,4.85,2021,0,1.0,6.513513513513514,1.7180982721967613,37.24324324324324
600143,232.06307490144545,0,1.62,2007,1,0.0,0.7530864197530863,7.496690591225181,14.493827160493826
600150,233.21287779237844,0,1.51,2007,1,1.0,9.852128986281846,0.8228629449478295,16.657758774274004
600151,230.02628120893561,0,1.77,2007,1,,,,
600161,225.9526938239159,0,2.09,2007,1,0.0,1.509433962264151,5.993809073724007,24.952830188679247
600162,6.767411300919842,1,1.82,2007,1,1.0,6.355357142857143,1.2020056601095523,51.96428571428572
600166,229.796320630749,0,1.68,2007,1,,,,
600169,94.84231274638633,1,2.16,2007,1,,,,
600177,2.726675427069645,1,1.77,2007,1,1.0,3.213665315576144,2.8897013345723934,10.104226983207877
600195,188.5676741130092,1,2.09,2007,1,0.0,2.516875,3.424409985075985,25.25
600216,202.6281208935611,0,3.98,2009,0,1.0,14.917127071823206,0.5087576073726309,23.535911602209943
600219,4.6320630749014455,1,2.07,2007,1,0.0,1.611111111111111,3.590679063198776,10.851851851851851
600249,8.902759526938238,1,2.03,2007,1,1.0,29.96142857142857,0.2788012811745097,97.85714285714285
600251,223.1274638633377,0,2.27,2007,1,0.0,2.484472049689441,3.198635881104034,146.27329192546583
600258,6.570302233902759,1,1.87,2007,1,0.0,2.114354258296681,4.363992926360551,22.191123550579768
600272,111.69513797634691,1,1.81,2007,1,0.0,1.9047619047619049,4.983012820512821,111.42857142857142
600276,221.6819973718791,0,2.49,2008,1,0.0,1.2855345911949685,3.879773298687161,18.9937106918239
600299,11.530880420499342,1,1.39,2007,1,,,,
600309,0.328515111695138,1,4.48,2021,0,1.0,4.617647058823529,2.1974334126767583,7.964705882352941
600312,229.17214191852824,0,1.84,2007,1,0.0,1.418235294117647,4.77130939154093,11.352941176470589
600320,5.486202365308804,1,1.99,2007,1,0.0,0.8333333333333334,3.370546318289786,10.794871794871794
600322,4.336399474375821,1,1.77,2007,1,0.0,1.2,6.820887445887446,61.6
600325,207.49014454664913,1,1.91,2007,1,0.0,2.0,3.0918958031837915,11.327868852459018
600326,203.64651773981603,0,3.91,2009,0,0.0,0.9599096555618296,4.535882352941176,18.181818181818183
600331,229.59921156373193,0,1.79,2007,1,0.0,2.824442943956786,3.015801197302793,11.906369570110286
600348,225.7227332457293,0,2.15,2007,1,0.0,0.8517324071777062,9.01291451526086,8.05424625816588
600362,226.64257555847567,0,2.0,2007,1,0.0,2.0576470588235294,4.515267912760632,6.573529411764705
600383,228.90932982917212,0,1.57,2007,1,0.0,2.723492723492724,3.3796431391719626,8.44074844074844
600409,221.7148488830486,0,2.46,2008,1,0.0,0.7303482587064677,6.61349241841213,17.379767827529022
